Group ID,Word,Synonyms
Group 1,abound,plentiful
Group 1,amorphous,shapeless
Group 1,austere,severe
Group 1,belie,contradict
Group 1,capricious,unpredictable
Group 1,cerebral,brainy
Group 1,congenial,pleasant
Group 1,conspicuous,noticeable
Group 1,cursory,quick
Group 1,daunting,intimidating
Group 1,deify,worship
Group 1,didactic,instructive
Group 1,disseminate,spread
Group 1,feasible,possible
Group 1,flout,mock
Group 1,homogeneous,uniform
Group 1,humdrum,boring
Group 1,insipid,dull
Group 1,loquacious,talkative
Group 1,misanthropic,unsocial
Group 1,misnomer,mistake
Group 1,negligent,careless
Group 1,obsequious,servile
Group 1,placate,calm
Group 1,proclivity,inclination
Group 1,puerile,childish
Group 1,quixotic,idealistic
Group 1,spendthrift,wasteful
Group 1,taciturn,silent
Group 1,wary,cautious
Group 2,adulterate,contaminate
Group 2,advocate,supporter
Group 2,aggrandize,Promote
Group 2,alacrity,eagerness
Group 2,ambivalent,unsure
Group 2,ameliorate,improve
Group 2,amenable,agreeable
Group 2,anachronistic,outdated
Group 2,audacious,bold
Group 2,avaricious,greedy
Group 2,banal,common
Group 2,benign,harmless
Group 2,brazen,shameless
Group 2,calumny,Insult
Group 2,candid,honest
Group 2,castigate,criticize
Group 2,caustic,corrosive
Group 2,construe,interpret
Group 2,contrite,regret
Group 2,convoluted,complex
Group 2,covet,desire
Group 2,craven,cowardly
Group 2,decorum,propriety
Group 2,deft,skillful
Group 2,demur,hesitate
Group 2,derivative,copied
Group 2,desiccate,dry
Group 2,diatribe,rant
Group 2,incredulous,doubtful
Group 2,ingenuous,naive
Group 3,abate,reduce
Group 3,abjure,renounce
Group 3,anomalous,abnormal
Group 3,antipathy,opposition
Group 3,arcane,mysterious
Group 3,arduous,difficult
Group 3,artless,natural
Group 3,ascetic,austere
Group 3,assuage,ease
Group 3,betray,deceive
Group 3,bucolic,rural
Group 3,burgeon,grow
Group 3,cacophonous ,
Group 3,canonize,sanctify
Group 3,censure,blame
Group 3,chicanery,deception
Group 3,coalesce,merge
Group 3,cogent,convincing
Group 3,compelling,forceful
Group 3,contend,argue
Group 3,copious,abound
Group 3,cosmopolitan,worldly
Group 3,deference,respect
Group 3,desultory,casual
Group 3,diffident,shy
Group 3,dilatory,Slow to act
Group 3,equivocate,evade
Group 3,polarize,divide
Group 3,prodigal,wasteful
Group 3,verbose,wordy
Group 4,abstain,refrain
Group 4,approbation,approval
Group 4,cherish,value
Group 4,corroborate,confirm
Group 4,disparate,different
Group 4,emulate,imitate
Group 4,enervate,weaken
Group 4,ephemeral,short-lived
Group 4,fervid,passionate
Group 4,garrulous,chatty
Group 4,incendiary,inflammatory
Group 4,inimical,hostile
Group 4,intimate,close relation
Group 4,invigorate,energize
Group 4,mitigate,lessen
Group 4,obsolete,outdated
Group 4,opaque,unclear
Group 4,paradigmatic,typical
Group 4,pedantic,nitpicky
Group 4,placid,calm
Group 4,polemical,argumentative
Group 4,precipitate,hasty
Group 4,profundity,depth
Group 4,prophetic,predictive
Group 4,prudent,wise
Group 4,punctilious,meticulous
Group 4,recondite,obscure
Group 4,scrupulous,diligent
Group 4,tranquil,peaceful
Group 4,vacillate,waver
Group 5,aloof,distant
Group 5,clangor,noise
Group 5,conventional,traditional
Group 5,debunk,expose
Group 5,diminutive,tiny
Group 5,discernible,noticeable
Group 5,enigmatic,mysterious
Group 5,estranged,alienated
Group 5,extravagant,lavish
Group 5,fanciful,imaginative
Group 5,frivolous,trivial
Group 5,heterogeneous,diverse
Group 5,imperious,domineering
Group 5,impertinent,rude
Group 5,invasive,intrusive
Group 5,irresolute,uncertain
Group 5,laudable,praiseworthy
Group 5,lax,loose
Group 5,marginalize,sideline
Group 5,panache,style
Group 5,plodding,slow
Group 5,prosaic,dull
Group 5,remedial,corrective
Group 5,restive,restless
Group 5,sporadic,occasional
Group 5,stigmatize,disgrace
Group 5,undermine,weaken
Group 5,utterly,completely
Group 5,weary,tired
Group 5,zealous,enthusiastic
Group 6,admonish,warn
Group 6,aesthetic,artistic
Group 6,affectation,pretense
Group 6,alleviate,ease
Group 6,analogous,similar
Group 6,bolster,support
Group 6,chauvinistic,biased
Group 6,connoisseur,expert
Group 6,dissemble ,
Group 6,dogged,persistent
Group 6,dupe,deceive
Group 6,empirical,observed
Group 6,engender,cause
Group 6,entitled,privileged
Group 6,pertinacious,determined
Group 6,presumptuous,arrogant
Group 6,probity,integrity
Group 6,proliferate,multiply
Group 6,specious,misleading
Group 6,spurious,false
Group 6,subjective,personal
Group 6,subvert,undermine
Group 6,timorous,fearful
Group 6,tortuous,twisted
Group 6,tractable,manageable
Group 6,transient,temporary
Group 6,ubiquitous,everywhere
Group 6,underscore,emphasize
Group 6,venal,corrupt
Group 6,venerate,respect
Group 7,appease,calm
Group 7,arbitrary,random
Group 7,archaic,ancient
Group 7,clamorous,loud
Group 7,dearth,scarcity
Group 7,explicable,explainable
Group 7,hyperbole,exaggeration
Group 7,immutable,unchanging
Group 7,indefatigable,tireless
Group 7,indolent,lazy
Group 7,insular,isolated
Group 7,intransigent,stubborn
Group 7,intrepid,brave
Group 7,irreverent,disrespectful
Group 7,loathe,hate
Group 7,malign,harmful
Group 7,malleable,flexible
Group 7,neophyte,novice
Group 7,plastic,moldable
Group 7,platitude,cliché
Group 7,prescient,predictive
Group 7,pristine,pure
Group 7,reproach,blame
Group 7,robust,strong
Group 7,salubrious,healthy
Group 7,sanction,approve
Group 7,sedulous,diligent
Group 7,soporific,sleep-inducing
Group 7,stern,strict
Group 7,tendentious,biased
Group 8,accentuate,emphasize
Group 8,conjectural,speculative
Group 8,convivial,friendly
Group 8,decadent,decaying
Group 8,egregious,horrible
Group 8,evanescent,fleeting
Group 8,flamboyant,flashy
Group 8,forestall,prevent
Group 8,gainsay,deny
Group 8,galvanize,stimulate
Group 8,indiscriminate,random
Group 8,innocuous,harmless
Group 8,momentary,brief
Group 8,mundane,ordinary
Group 8,nettlesome,annoying
Group 8,nullify,invalidate
Group 8,obviate,avoid
Group 8,omnipresent,universal
Group 8,oust,expel
Group 8,palpable,tangible
Group 8,perfidy,betrayal
Group 8,profuse,abundant
Group 8,pugnacious,aggressive
Group 8,sagacious,wise
Group 8,sanguine,optimistic
Group 8,scant,limited
Group 8,skullduggery,trickery
Group 8,trivial,minor
Group 8,utilitarian,practical
Group 8,vapid,dull
Group 9,boorish,rude
Group 9,brook,tolerate
Group 9,circumspect,cautious
Group 9,comity,courtesy
Group 9,commensurate,equal
Group 9,cordial,warm
Group 9,deleterious,harmful
Group 9,dichotomy,division
Group 9,edify,educate
Group 9,elicit,draw out
Group 9,erudite,learned
Group 9,fecund,fertile
Group 9,feeble,weak
Group 9,felicitous,apt
Group 9,forbear,refrain
Group 9,haphazard,random
Group 9,hodgepodge,mixture
Group 9,impede,block
Group 9,impetuous,rash
Group 9,irascible,irritable
Group 9,mercenary,greedy
Group 9,meticulous,careful
Group 9,mordant,biting
Group 9,outstrip,surpass
Group 9,precarious,risky
Group 9,quirky,odd
Group 9,repudiate,reject
Group 9,tact,skill
Group 9,trifling,trivial
Group 9,turbulent,chaotic
Group 10,acumen,insight
Group 10,antithesis,opposite
Group 10,ascribe,attribute
Group 10,befuddled,confused
Group 10,eschew,avoid
Group 10,esoteric,obscure
Group 10,evasive,elusive
Group 10,exculpate,clear
Group 10,expedite,speed up
Group 10,fastidious,meticulous
Group 10,feign,pretend
Group 10,furtive,sneaky
Group 10,hamper,hinder
Group 10,indispensable,essential
Group 10,lament,mourn
Group 10,myopic,short-sighted
Group 10,nonchalant,casual
Group 10,partial,biased
Group 10,pensive,thoughtful
Group 10,portend,predict
Group 10,provincial,narrow-minded
Group 10,rudimentary,basic
Group 10,salutary,beneficial
Group 10,sever,cut
Group 10,slight,insult
Group 10,somnolent,sleepy
Group 10,stoic,unemotional
Group 10,supersede,replace
Group 10,tout,praise
Group 10,wane,decrease
Group 11,abhor,hate
Group 11,boisterous,noisy
Group 11,chivalrous,gallant
Group 11,churlish,rude
Group 11,clandestine,secret
Group 11,complacent,satisfied
Group 11,cumbersome,bulky
Group 11,debilitating,weakening
Group 11,deliberate,intentional
Group 11,droll,funny
Group 11,eccentric,odd
Group 11,fractious,irritable
Group 11,limpid,clear
Group 11,mawkish,sentimental
Group 11,obeisance,respect
Group 11,ostentatious,showy
Group 11,panacea,cure-all
Group 11,perfunctory,routine
Group 11,perilous,dangerous
Group 11,pervasive ,
Group 11,preclude,prevent
Group 11,predilection ,
Group 11,rapacious,greedy
Group 11,relish,enjoy
Group 11,satirical,mocking
Group 11,sham,fake
Group 11,skirt,avoid
Group 11,sluggish,slow
Group 11,spartan,austere
Group 11,truculent,aggressive
Group 12,acrimonious ,
Group 12,belligerent,hostile
Group 12,beneficent,kind
Group 12,canny,shrewd
Group 12,cavalier,arrogant
Group 12,distressed ,
Group 12,dwindling,decreasing
Group 12,eclipse,overshadow
Group 12,encyclopedic ,
Group 12,exacerbate,worsen
Group 12,exasperated,irritated
Group 12,fungible,exchangeable
Group 12,hackneyed,overused
Group 12,incongruous,out of place
Group 12,interchangeable,replaceable
Group 12,laconic,brief
Group 12,lucrative,profitable
Group 12,magisterial,authoritative
Group 12,onerous,burdensome
Group 12,opprobrium,disgrace
Group 12,parsimonious,stingy
Group 12,peripheral,side
Group 12,provocative,stimulating
Group 12,renounce,reject
Group 12,tempestuous,stormy
Group 12,tenable,defensible
Group 12,transgression,sin
Group 12,urbane,sophisticated
Group 12,verisimilitude,realism
Group 12,vitiate,spoil
Group 13,affinity,liking
Group 13,altruistic,selfless
Group 13,baroque,ornate
Group 13,byzantine,complex
Group 13,compromise,settle
Group 13,conciliatory,appeasing
Group 13,countenance,tolerate
Group 13,covert,hidden
Group 13,credible,believable
Group 13,diffuse,spread
Group 13,documentary,factual
Group 13,exhaustive,thorough
Group 13,exhilarating,exciting
Group 13,extraneous,irrelevant
Group 13,fervor,passion
Group 13,futile,useless
Group 13,illusory,deceptive
Group 13,invidious,enviable
Group 13,lethargic,sluggish
Group 13,metaphorical,symbolic
Group 13,mimic,imitate
Group 13,numinous,spiritual
Group 13,obscure,unclear
Group 13,overt,open
Group 13,pellucid,transparent
Group 13,perpetuate,continue
Group 13,rational,logical
Group 13,scathing,harsh
Group 13,subtle,slight
Group 13,superficial,surface
Group 14,acquiesce,agree
Group 14,adroit,skillful
Group 14,amend,change
Group 14,animus,hostility
Group 14,apologist,defender
Group 14,astringent,harsh
Group 14,collaborate,cooperate
Group 14,competent,capable
Group 14,correlate,match
Group 14,deride,mock
Group 14,dictate,command
Group 14,discreet,careful
Group 14,divorced,separated
Group 14,elitist,snobbish
Group 14,exacting,demanding
Group 14,flummoxed,confused
Group 14,fruitful,productive
Group 14,inborn,innate
Group 14,polymath,expert
Group 14,reticent,reserved
Group 14,stringent,strict
Group 14,subservient,submissive
Group 14,surreptitious,secret
Group 14,tantalizing,tempting
Group 14,tantamount,equivalent
Group 14,torpor,lethargy
Group 14,trenchant,incisive
Group 14,umbrage,offense
Group 14,versatile,flexible
Group 14,wayward,unpredictable
Group 15,alienate,isolate
Group 15,apathy,indifference
Group 15,apropos,relevant
Group 15,apt,suitable
Group 15,cloak,hide
Group 15,consensus,agreement
Group 15,distort,twist
Group 15,divergent,different
Group 15,elated,joyful
Group 15,enchant,charm
Group 15,entrenched,fixed
Group 15,exotic,foreign
Group 15,exploitative,abusive
Group 15,foreseeable,predictable
Group 15,forsake,abandon
Group 15,gratify,please
Group 15,heed,listen
Group 15,judicious,wise
Group 15,lucid,clear
Group 15,pertinent,relevant
Group 15,propriety,correctness
Group 15,scintillating,sparkling
Group 15,sensational,amazing
Group 15,sophisticated,advanced
Group 15,strife,conflict
Group 15,understated,subtle
Group 15,unscrupulous,dishonest
Group 15,veracity,truth
Group 15,virulent,toxic
Group 15,volatile,unstable
Group 16,antedate,precede
